client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
e51b029736726b846cc4828973d1657e14c321245b02ba32a49a9c9bceb0b47d1e332cb5463ae48af15208f3ea0d9bdd1b8c385a786fbcf5737e90e1f349736a	common_voice_de_18002363.mp3	Laura wusste nicht genau, was es war, aber etwas in ihr sagte ihr, dass es die Wahrheit ist.	1	1	twenties	male	Schweizerdeutsch	de	
52ac761f97ccde8b63913ba2469f109a0b517f6ca3a9579a7d11eb62ff43daf847540b62c2563cb66560babe7698de4f846f30211b0a99b5be46898121379fd6	common_voice_de_18002365.mp3	Andreas anrufen.	1	0	fourties	male	Deutschland Deutsch	de	
6d0912647702c0dddc591deb95ea6b8c01c4f1386b532f8dfeca06cfadcd73ee710d3b4e6a4303f37cf3ce3555bc4b2f42825a9beee1bacfe829fc92e22bf12b	common_voice_de_18002993.mp3	Wir haben noch tausende weitere Sätze für Sie.	1	0	twenties	male	Deutschland Deutsch	de	
6d0912647702c0dddc591deb95ea6b8c01c4f1386b532f8dfeca06cfadcd73ee710d3b4e6a4303f37cf3ce3555bc4b2f42825a9beee1bacfe829fc92e22bf12b	common_voice_de_18003013.mp3	Stillende Mütter sollte man tolerieren.	1	1	twenties	male	Deutschland Deutsch	de	
6d0912647702c0dddc591deb95ea6b8c01c4f1386b532f8dfeca06cfadcd73ee710d3b4e6a4303f37cf3ce3555bc4b2f42825a9beee1bacfe829fc92e22bf12b	common_voice_de_18003118.mp3	Henning ist ein herzensguter Mensch.	1	1	twenties	male	Deutschland Deutsch	de	
6d0912647702c0dddc591deb95ea6b8c01c4f1386b532f8dfeca06cfadcd73ee710d3b4e6a4303f37cf3ce3555bc4b2f42825a9beee1bacfe829fc92e22bf12b	common_voice_de_18003337.mp3	Du kannst doch mit öffentlichen Verkehrsmitteln nach Hagen fahren	1	0	twenties	male	Deutschland Deutsch	de	
d027b83b2d2cff9530fa30ba1110a5918e355712c8ba0711b9394b21f86c410a377eb75918190cfff28841f602475d7c13e5471d041e79fd67266de4b91c0ad2	common_voice_de_18003691.mp3	Ventilator einschalten.	1	1	fifties	female	Deutschland Deutsch	de	
bed3139d23841e1034a508335fed127c01920cfa45a1c16c00e6997b1e97fd9292d441257bfe79b354d97f76f464eb2c4a72621aa6a0b65c317d9ab2fe31ba17	common_voice_de_18003741.mp3	Maseru ist die Hauptstadt von Lesotho.	1	0	thirties	female		de	
bed3139d23841e1034a508335fed127c01920cfa45a1c16c00e6997b1e97fd9292d441257bfe79b354d97f76f464eb2c4a72621aa6a0b65c317d9ab2fe31ba17	common_voice_de_18003745.mp3	Abuja ist die Hauptstadt von Nigeria.	1	1	thirties	female		de	
5a5c462b583ae4198241e19901cfea4cb1f73905969357f9e2dced0fcae858e5441b69a721eefc00b66ca28f666d76c7b0db86da88d68cf727e9da98c50a1fcd	common_voice_de_18004719.mp3	Was zum Geier ist hier nur los?	1	0	twenties	male	Deutschland Deutsch	de	
5a5c462b583ae4198241e19901cfea4cb1f73905969357f9e2dced0fcae858e5441b69a721eefc00b66ca28f666d76c7b0db86da88d68cf727e9da98c50a1fcd	common_voice_de_18004725.mp3	Jetzt beruhigen wir uns erstmal wieder.	1	0	twenties	male	Deutschland Deutsch	de	
963b46287d3f9b7e6e3a7fc53e070fdf00797a875f32502cd78e312a8fde75187bb7e9dc6b773d970be0928f319b4cd54ab33909bcb20f1d45056b76d3fd1443	common_voice_de_18004818.mp3	Die Sparkasse wird gerade überfallen.	1	0	fourties	male	Deutschland Deutsch	de	
963b46287d3f9b7e6e3a7fc53e070fdf00797a875f32502cd78e312a8fde75187bb7e9dc6b773d970be0928f319b4cd54ab33909bcb20f1d45056b76d3fd1443	common_voice_de_18004852.mp3	Nachdem fast alle Ureinwohner vertrieben wurden, gestand die Regierung den verbliebenen hundert eine Entschädigung zu.	1	0	fourties	male	Deutschland Deutsch	de	
963b46287d3f9b7e6e3a7fc53e070fdf00797a875f32502cd78e312a8fde75187bb7e9dc6b773d970be0928f319b4cd54ab33909bcb20f1d45056b76d3fd1443	common_voice_de_18004866.mp3	Sie sind entlassen.	1	0	fourties	male	Deutschland Deutsch	de	
edcdcde87161c7381e8f7e746e966348fa503f15a419ccb473ce3a8f48e38b49c7b42d8ec9957cfd1235b91ee432506da29dbea89d1baf948f081f42045b523f	common_voice_de_18004902.mp3	Schrauben sind ein Zeichen für Qualität und Wartbarkeit.	1	0	thirties	female	Österreichisches Deutsch	de	
edcdcde87161c7381e8f7e746e966348fa503f15a419ccb473ce3a8f48e38b49c7b42d8ec9957cfd1235b91ee432506da29dbea89d1baf948f081f42045b523f	common_voice_de_18004912.mp3	Heute gibt es Pfannkuchen.	1	0	thirties	female	Österreichisches Deutsch	de	
f4cd081950e44c8aec30731ad6d1f398f194bf01e003ada5064d357bf631d6d2e6a1a78cb144737b227b339b2b6e1750f70b6eaf05451145a4c0b6872c0683b5	common_voice_de_18540820.mp3	Der Haarausfall ist wohl hormonell bedingt.	1	0				de	
60c1e24a893a92ecfb341ae684e7132703429be2f862f7c858ab2e9f4ca676f134e8683feae1fe27b237b4806f6e64382a816242d3670c355ffe102144dd7b03	common_voice_de_18543462.mp3	Tun Sie nicht so überrascht!	1	0				de	
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06	common_voice_de_18544308.mp3	Ihr Jawort gaben sie sich in einem friesischen Haus mit Reetdach.	1	0	thirties	male	Deutschland Deutsch	de	
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06	common_voice_de_18544408.mp3	Können Sie sich ausweisen?	1	0	thirties	male	Deutschland Deutsch	de	
89bb5eca74640e669198cba17e3c16422edd9c4202550f566ce0c756cf68b0d5d106a29585046b1fec2b7831d205612d8fc02ed68a85d59c36a9e15071685582	common_voice_de_18545715.mp3	Den Wickeltisch kann man hochklappen, wenn man ihn nicht braucht.	1	0	fifties	male	Deutschland Deutsch	de	
5a5c462b583ae4198241e19901cfea4cb1f73905969357f9e2dced0fcae858e5441b69a721eefc00b66ca28f666d76c7b0db86da88d68cf727e9da98c50a1fcd	common_voice_de_18548409.mp3	Es ist eine albanische Wasserpfeife.	1	0	twenties	male	Deutschland Deutsch	de	
121fcbf9cd849555ad65e4b8ba84c74ecb0151a007157a8ff1b668a9a3a090fe94c228c616d8403350209005414622d6039b4a461add48798e03455d7175ba9e	common_voice_de_18549146.mp3	Das ist Rock 'n' Roll, lieber Freddy.	1	0	twenties	male	Deutschland Deutsch	de	
30729feaf1252ff141296cf963a7d6304c64d469abe131a444857153f6a156c635e91bb288d1ce2505a3a70d5624889729ce13abcf9ef614082ad542a5cae05f	common_voice_de_18553434.mp3	Statt mit Qualifikation zu überzeugen, versucht sie, den Personalchef zu betören.	1	0				de	
7add5463bde0b8d6ac568ab3a4d9e6c481fe3f19e5e985f07821589d7823f38177cca5f7bc941ce167190c2ed98fc6f233c15dc13a459e04a9b2fcc553fa8511	common_voice_de_18554035.mp3	Ein Abspielgerät für digitale Medien hingegen fehlte.	1	0				de	
7add5463bde0b8d6ac568ab3a4d9e6c481fe3f19e5e985f07821589d7823f38177cca5f7bc941ce167190c2ed98fc6f233c15dc13a459e04a9b2fcc553fa8511	common_voice_de_18554046.mp3	Warum kann man den Songtext nicht als Untertiteldatei herunterladen?	1	0				de	
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06	common_voice_de_18633122.mp3	Die Stühle sind zwar sehr stylisch, aber unpraktisch.	1	0	thirties	male	Deutschland Deutsch	de	
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06	common_voice_de_18633161.mp3	Das gestrige Techtelmechtel wird Kunibert noch bereuen.	1	0	thirties	male	Deutschland Deutsch	de	
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06	common_voice_de_18633265.mp3	Früher haben wir noch am Friedhof gechillt und uns dabei unendlich cool gefühlt.	1	1	thirties	male	Deutschland Deutsch	de	
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06	common_voice_de_18633277.mp3	Da bekam der Monarch den ganzen Zorn des Volkes zu spüren.	1	0	thirties	male	Deutschland Deutsch	de	
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06	common_voice_de_18633299.mp3	Thilo müsste mit den anderen auf dem Bolzplatz sein.	1	0	thirties	male	Deutschland Deutsch	de	
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06	common_voice_de_18633360.mp3	Erkennst du mich nicht?	1	0	thirties	male	Deutschland Deutsch	de	
d12b2fa805d3ff79246d808ee069e733587b596835593dbec5a070d62bebeebb51bf2210ea44690202828ec5d3060871a7b8a8f268a45c35b739249c3de44a06	common_voice_de_18633540.mp3	Eine Sache zur Zeit.	1	0	thirties	male	Deutschland Deutsch	de	
